"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"416","RT @edtparkes: Collision of old and new at British Museum. Robot + Egyptian Statue. Vision of the future? #MuseumOfTheFuture http://t.co/J9…",FALSE,0,NA,2014-10-16 20:37:15,FALSE,NA,"522848768325332992",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuthHecht",1,TRUE,FALSE,NA,NA
"417","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:37:13,FALSE,NA,"522848762427748352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ianbennett477",111,TRUE,FALSE,NA,NA
"418","RT @britishmuseum: Amit Sood: viewing objects in their physical space is amazing, but there's also a place where digital can solve problems…",FALSE,0,NA,2014-10-16 20:37:11,FALSE,NA,"522848752152104960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","renatakaminker",8,TRUE,FALSE,NA,NA
"419","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey https://t.co/L8hcJiK0BO http://t.co/m99…",FALSE,0,NA,2014-10-16 20:37:10,FALSE,NA,"522848748892745729",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ianbennett477",44,TRUE,FALSE,NA,NA
"420","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey https://t.co/L8hcJiK0BO http://t.co/m99…",FALSE,0,NA,2014-10-16 20:36:56,FALSE,NA,"522848692194127872",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","longolyer",44,TRUE,FALSE,NA,NA
"421","Have your say about the #MuseumOfTheFuture by filling in our quick online survey https://t.co/L8hcJiK0BO http://t.co/m99GOpJzPa",FALSE,30,"britishmuseum",2014-10-16 20:36:43,FALSE,"520187295518167040","522848636846505984","19066345","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","britishmuseum",44,FALSE,FALSE,NA,NA
"422","@britishmuseum #MuseumOfTheFuture why not head of engagement or a more audience directed role?",FALSE,1,"LauraKugel",2014-10-16 20:34:27,FALSE,"522847551868116992","522848066224017408","2788776661","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraKugel",1,FALSE,FALSE,NA,NA
"423","RT @edtparkes: Lots of ideas being discussed at #MuseumOfTheFuture could be achieved by making more collections available as open data @bri…",FALSE,0,NA,2014-10-16 20:32:25,FALSE,NA,"522847552652464128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parnassians",11,TRUE,FALSE,NA,NA
"424","Having the head of Trustees as chair for the debate might have been a rather safe choice from @britishmuseum #MuseumOfTheFuture",FALSE,0,NA,2014-10-16 20:32:25,FALSE,NA,"522847551868116992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraKugel",0,FALSE,FALSE,NA,NA
"425","#MuseumOfTheFuture",FALSE,0,NA,2014-10-16 20:32:10,FALSE,NA,"522847489578508288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lyre__",0,FALSE,FALSE,NA,NA
"426","RT @britishmuseum: Sign up and get involved in building the Museum in #Minecraft #Museumcraft #MuseumOfTheFuture http://t.co/PUssMEsRmk htt…",FALSE,0,NA,2014-10-16 20:31:51,FALSE,NA,"522847409819238402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iPumpernickel",37,TRUE,FALSE,NA,NA
"427","RT @theriversideUCC: Some really interesting tweets coming from #MuseumOfTheFuture debate focusing on museum collections in the digital age…",FALSE,0,NA,2014-10-16 20:31:43,FALSE,NA,"522847378898825217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jesshughes61",1,TRUE,FALSE,NA,NA
"428","RT @MajaMaricevic: My favourite idea so far linking objects across museums, their original locations and info (also academic research!)  #M…",FALSE,0,NA,2014-10-16 20:30:42,FALSE,NA,"522847123327311872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parnassians",15,TRUE,FALSE,NA,NA
"429","RT @heritageNinja: #MuseumOfTheFuture what should museums be collecting now for future generations?",FALSE,0,NA,2014-10-16 20:30:29,FALSE,NA,"522847067392073729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lyre__",20,TRUE,FALSE,NA,NA
"430","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-16 20:30:26,FALSE,NA,"522847054960160772",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Culture_Baby",137,TRUE,FALSE,NA,NA
"431","RT @britishmuseum: Sonita Alleyne: we're in a position now where museums are part of present – I like the idea of the Museum in Minecraft #…",FALSE,0,NA,2014-10-16 20:29:37,FALSE,NA,"522846850865319936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Christianne_lw",15,TRUE,FALSE,NA,NA
"432","RT @edtparkes: Lots of ideas being discussed at #MuseumOfTheFuture could be achieved by making more collections available as open data @bri…",FALSE,0,NA,2014-10-16 20:29:21,FALSE,NA,"522846781923545090",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","retailmentoring",11,TRUE,FALSE,NA,NA
"433","RT @alexpeterss: @smannion I'd like to see the public select items in storage/not accessible normally &amp; create an exb of the unseen #Museum…",FALSE,0,NA,2014-10-16 20:29:13,FALSE,NA,"522846748193357824",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KatieAliceHobbs",3,TRUE,FALSE,NA,NA
"434","RT @historyworkstv: Fab discussions @britishmuseum about museum collections in digital age - linking 2 million objects to places &amp; info!  #…",FALSE,0,NA,2014-10-16 20:29:05,FALSE,NA,"522846716815745024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KatieAliceHobbs",1,TRUE,FALSE,NA,NA
"435","RT @britishmuseum: P.S. If you're at the #MuseumOfTheFuture drinks come to the winged bulls to have your say about the debate! http://t.co/…",FALSE,0,NA,2014-10-16 20:28:49,FALSE,NA,"522846648251473920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lyre__",21,TRUE,FALSE,NA,NA
"436","RT @Event_Comm: @googleart ""the present is being collected right now on the internet- the role of the Museum is to engage with it"" #MuseumO…",FALSE,0,NA,2014-10-16 20:28:03,FALSE,NA,"522846456185516033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wordsmythen",11,TRUE,FALSE,NA,NA
"437","RT @LauraKugel: Viewing objects 'physically' and 'virtually' aren't competing but complementing each other #MuseumOfTheFuture @britishmuseu…",FALSE,0,NA,2014-10-16 20:26:56,FALSE,NA,"522846175272390657",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","AnneChafe",27,TRUE,FALSE,NA,NA
"438","RT @britishmuseum: Book for the next #MuseumOfTheFuture debate on 18 Nov, on the new Knowledge Quarter in Camden http://t.co/z9AfDye61x htt…",FALSE,0,NA,2014-10-16 20:26:54,FALSE,NA,"522846167294418944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChloeHelenBent",44,TRUE,FALSE,NA,NA
"439","RT @LauraKugel: Viewing objects 'physically' and 'virtually' aren't competing but complementing each other #MuseumOfTheFuture @britishmuseu…",FALSE,0,NA,2014-10-16 20:26:39,FALSE,NA,"522846100953522176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parnassians",27,TRUE,FALSE,NA,NA
"440","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-16 20:26:14,FALSE,NA,"522845995466383361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vague_Inkling",137,TRUE,FALSE,NA,NA
"441","RT @britishmuseum: Mark Walport: #MuseumOfTheFuture is the opportunity to share things with other museums, exhibitions – democratising beau…",FALSE,0,NA,2014-10-16 20:25:48,FALSE,NA,"522845887131701248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChloeHelenBent",14,TRUE,FALSE,NA,NA
"442","RT @britishmuseum: Book for the next #MuseumOfTheFuture debate on 18 Nov, on the new Knowledge Quarter in Camden http://t.co/z9AfDye61x htt…",FALSE,0,NA,2014-10-16 20:23:35,FALSE,NA,"522845331365842944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SibelGonulsuz",44,TRUE,FALSE,NA,NA
